ID,ClassificationID,ClassificationCode,Classification,Discipline,Position,query_text,MatchedUniclassTitle,MatchedUniclassCode,MatchScore,Alternates
3438,36.0,JCB_S,Jacobs PAA Salary,,,Classification: Jacobs PAA Salary,Unclassified,Ro_00_Unclassified,0.3297,"[{'title': 'Principal contractor', 'code': 'Ro_30_30_67', 'score': 0.3260365128517151}, {'title': 'Rail labourer', 'code': 'Ro_70_70_68', 'score': 0.29559463262557983}]"
3439,36.0,JCB_S,Jacobs PAA Salary,,,Classification: Jacobs PAA Salary,Unclassified,Ro_00_Unclassified,0.3297,"[{'title': 'Principal contractor', 'code': 'Ro_30_30_67', 'score': 0.3260365128517151}, {'title': 'Rail labourer', 'code': 'Ro_70_70_68', 'score': 0.29559463262557983}]"
3440,35.0,ARC_S,Acradis PAA Salary,Road Civil,TCS Designer,Classification: Acradis PAA Salary | Discipline: Road Civil | Position: TCS Designer,Unclassified,Ro_00_Unclassified,0.483,"[{'title': 'Principal designer', 'code': 'Ro_30_30_68', 'score': 0.44491511583328247}, {'title': 'Highways engineer', 'code': 'Ro_50_20_41', 'score': 0.4386988878250122}]"
3441,36.0,JCB_S,Jacobs PAA Salary,Geotechnical,Groundwater modeller,Classification: Jacobs PAA Salary | Discipline: Geotechnical | Position: Groundwater modeller,Unclassified,Ro_00_Unclassified,0.6131,"[{'title': 'Geotechnical surveyor', 'code': 'Ro_70_10_33', 'score': 0.5470070838928223}, {'title': 'Drainage engineer', 'code': 'Ro_50_20_28', 'score': 0.5432222485542297}]"
3442,36.0,JCB_S,Jacobs PAA Salary,,,Classification: Jacobs PAA Salary,Unclassified,Ro_00_Unclassified,0.3297,"[{'title': 'Principal contractor', 'code': 'Ro_30_30_67', 'score': 0.3260365128517151}, {'title': 'Rail labourer', 'code': 'Ro_70_70_68', 'score': 0.29559463262557983}]"
3443,35.0,ARC_S,Acradis PAA Salary,Lighting,Electrical Engineer,Classification: Acradis PAA Salary | Discipline: Lighting | Position: Electrical Engineer,Unclassified,Ro_00_Unclassified,0.4981,"[{'title': 'Electrical services engineer', 'code': 'Ro_50_20_30', 'score': 0.4878561496734619}, {'title': 'Lighting designer', 'code': 'Ro_50_10_50', 'score': 0.4279809594154358}]"
3444,35.0,ARC_S,Acradis PAA Salary,Traffic Modelling,Traffic Staging Package Lead,Classification: Acradis PAA Salary | Discipline: Traffic Modelling | Position: Traffic Staging Package Lead,Unclassified,Ro_00_Unclassified,0.5806,"[{'title': 'Traffic consultant', 'code': 'Ro_10_40_88', 'score': 0.5791990756988525}, {'title': 'Highways engineer', 'code': 'Ro_50_20_41', 'score': 0.48813310265541077}]"
3445,36.0,JCB_S,Jacobs PAA Salary,Pavements,Pavement Engineer,Classification: Jacobs PAA Salary | Discipline: Pavements | Position: Pavement Engineer,Unclassified,Ro_00_Unclassified,0.5042,"[{'title': 'Traffic engineer', 'code': 'Ro_50_20_90', 'score': 0.473105251789093}, {'title': 'Drainage engineer', 'code': 'Ro_50_20_28', 'score': 0.429988831281662}]"
3446,36.0,JCB_S,Jacobs PAA Salary,ITS (Surface),ITS and TCS IV,Classification: Jacobs PAA Salary | Discipline: ITS (Surface) | Position: ITS and TCS IV,Unclassified,Ro_00_Unclassified,0.3641,"[{'title': 'Facilities manager', 'code': 'Ro_10_40_30', 'score': 0.3612906336784363}, {'title': 'Principal designer', 'code': 'Ro_30_30_68', 'score': 0.35436445474624634}]"
3448,36.0,JCB_S,Jacobs PAA Salary,,,Classification: Jacobs PAA Salary,Unclassified,Ro_00_Unclassified,0.3297,"[{'title': 'Principal contractor', 'code': 'Ro_30_30_67', 'score': 0.3260365128517151}, {'title': 'Rail labourer', 'code': 'Ro_70_70_68', 'score': 0.29559463262557983}]"
3449,36.0,JCB_S,Jacobs PAA Salary,Road Civil,TCS Designer,Classification: Jacobs PAA Salary | Discipline: Road Civil | Position: TCS Designer,Unclassified,Ro_00_Unclassified,0.4758,"[{'title': 'Highways engineer', 'code': 'Ro_50_20_41', 'score': 0.44423580169677734}, {'title': 'Principal designer', 'code': 'Ro_30_30_68', 'score': 0.42850011587142944}]"
3450,35.0,ARC_S,Acradis PAA Salary,Drainage,Drainage Delivery Manager,Classification: Acradis PAA Salary | Discipline: Drainage | Position: Drainage Delivery Manager,Unclassified,Ro_00_Unclassified,0.5549,"[{'title': 'Facilities manager', 'code': 'Ro_10_40_30', 'score': 0.47461414337158203}, {'title': 'Water services engineer', 'code': 'Ro_50_20_96', 'score': 0.43020954728126526}]"
3451,35.0,ARC_S,Acradis PAA Salary,Digital Engineering,Research team,Classification: Acradis PAA Salary | Discipline: Digital Engineering | Position: Research team,Unclassified,Ro_00_Unclassified,0.5446,"[{'title': 'Telecommunication engineer', 'code': 'Ro_50_20_88', 'score': 0.47628235816955566}, {'title': 'Electronics engineer', 'code': 'Ro_50_20_31', 'score': 0.44948524236679077}]"
3452,36.0,JCB_S,Jacobs PAA Salary,,,Classification: Jacobs PAA Salary,Unclassified,Ro_00_Unclassified,0.3297,"[{'title': 'Principal contractor', 'code': 'Ro_30_30_67', 'score': 0.3260365128517151}, {'title': 'Rail labourer', 'code': 'Ro_70_70_68', 'score': 0.29559463262557983}]"
3453,36.0,JCB_S,Jacobs PAA Salary,,,Classification: Jacobs PAA Salary,Unclassified,Ro_00_Unclassified,0.3297,"[{'title': 'Principal contractor', 'code': 'Ro_30_30_67', 'score': 0.3260365128517151}, {'title': 'Rail labourer', 'code': 'Ro_70_70_68', 'score': 0.29559463262557983}]"
3454,36.0,JCB_S,Jacobs PAA Salary,,,Classification: Jacobs PAA Salary,Unclassified,Ro_00_Unclassified,0.3297,"[{'title': 'Principal contractor', 'code': 'Ro_30_30_67', 'score': 0.3260365128517151}, {'title': 'Rail labourer', 'code': 'Ro_70_70_68', 'score': 0.29559463262557983}]"
3455,36.0,JCB_S,Jacobs PAA Salary,,,Classification: Jacobs PAA Salary,Unclassified,Ro_00_Unclassified,0.3297,"[{'title': 'Principal contractor', 'code': 'Ro_30_30_67', 'score': 0.3260365128517151}, {'title': 'Rail labourer', 'code': 'Ro_70_70_68', 'score': 0.29559463262557983}]"
3456,38.0,ARC_G,Arcadis GEC,,,Classification: Arcadis GEC,Unclassified,Ro_00_Unclassified,0.2912,"[{'title': 'Hazardous materials surveyor', 'code': 'Ro_70_10_35', 'score': 0.27051010727882385}, {'title': 'Development control officer', 'code': 'Ro_30_30_20', 'score': 0.2590610980987549}]"
3458,36.0,JCB_S,Jacobs PAA Salary,,,Classification: Jacobs PAA Salary,Unclassified,Ro_00_Unclassified,0.3297,"[{'title': 'Principal contractor', 'code': 'Ro_30_30_67', 'score': 0.3260365128517151}, {'title': 'Rail labourer', 'code': 'Ro_70_70_68', 'score': 0.29559463262557983}]"
3459,38.0,ARC_G,Arcadis GEC,,,Classification: Arcadis GEC,Unclassified,Ro_00_Unclassified,0.2912,"[{'title': 'Hazardous materials surveyor', 'code': 'Ro_70_10_35', 'score': 0.27051010727882385}, {'title': 'Development control officer', 'code': 'Ro_30_30_20', 'score': 0.2590610980987549}]"
3460,36.0,JCB_S,Jacobs PAA Salary,,,Classification: Jacobs PAA Salary,Unclassified,Ro_00_Unclassified,0.3297,"[{'title': 'Principal contractor', 'code': 'Ro_30_30_67', 'score': 0.3260365128517151}, {'title': 'Rail labourer', 'code': 'Ro_70_70_68', 'score': 0.29559463262557983}]"
3461,36.0,JCB_S,Jacobs PAA Salary,,,Classification: Jacobs PAA Salary,Unclassified,Ro_00_Unclassified,0.3297,"[{'title': 'Principal contractor', 'code': 'Ro_30_30_67', 'score': 0.3260365128517151}, {'title': 'Rail labourer', 'code': 'Ro_70_70_68', 'score': 0.29559463262557983}]"
3462,36.0,JCB_S,Jacobs PAA Salary,,,Classification: Jacobs PAA Salary,Unclassified,Ro_00_Unclassified,0.3297,"[{'title': 'Principal contractor', 'code': 'Ro_30_30_67', 'score': 0.3260365128517151}, {'title': 'Rail labourer', 'code': 'Ro_70_70_68', 'score': 0.29559463262557983}]"
3463,36.0,JCB_S,Jacobs PAA Salary,,,Classification: Jacobs PAA Salary,Unclassified,Ro_00_Unclassified,0.3297,"[{'title': 'Principal contractor', 'code': 'Ro_30_30_67', 'score': 0.3260365128517151}, {'title': 'Rail labourer', 'code': 'Ro_70_70_68', 'score': 0.29559463262557983}]"
3464,38.0,ARC_G,Arcadis GEC,,,Classification: Arcadis GEC,Unclassified,Ro_00_Unclassified,0.2912,"[{'title': 'Hazardous materials surveyor', 'code': 'Ro_70_10_35', 'score': 0.27051010727882385}, {'title': 'Development control officer', 'code': 'Ro_30_30_20', 'score': 0.2590610980987549}]"
3465,36.0,JCB_S,Jacobs PAA Salary,Buildings,Mechanical Discipline Lead,Classification: Jacobs PAA Salary | Discipline: Buildings | Position: Mechanical Discipline Lead,Unclassified,Ro_00_Unclassified,0.4327,"[{'title': 'Principal designer', 'code': 'Ro_30_30_68', 'score': 0.4140382707118988}, {'title': 'Facilities manager', 'code': 'Ro_10_40_30', 'score': 0.39725667238235474}]"
3466,36.0,JCB_S,Jacobs PAA Salary,Digital Engineering,Senior Security Consultant,Classification: Jacobs PAA Salary | Discipline: Digital Engineering | Position: Senior Security Consultant,Unclassified,Ro_00_Unclassified,0.5258,"[{'title': 'Digital engineer', 'code': 'Ro_50_20_26', 'score': 0.46158772706985474}, {'title': 'Chief information officer', 'code': 'Ro_10_30_14', 'score': 0.45307016372680664}]"
3467,36.0,JCB_S,Jacobs PAA Salary,Building Services,ELECTRICAL ENGINEER,Classification: Jacobs PAA Salary | Discipline: Building Services | Position: ELECTRICAL ENGINEER,Unclassified,Ro_00_Unclassified,0.4589,"[{'title': 'Construction manager', 'code': 'Ro_70_65_15', 'score': 0.45195096731185913}, {'title': 'Electrical services engineer', 'code': 'Ro_50_20_30', 'score': 0.43881937861442566}]"
3468,36.0,JCB_S,Jacobs PAA Salary,Building Services,Fire Protection Engineer,Classification: Jacobs PAA Salary | Discipline: Building Services | Position: Fire Protection Engineer,Unclassified,Ro_00_Unclassified,0.5773,"[{'title': 'Fire services officer', 'code': 'Ro_30_30_27', 'score': 0.5299555063247681}, {'title': 'Fire risk assessor', 'code': 'Ro_30_30_28', 'score': 0.5134499669075012}]"
