ID,ClassificationID,ClassificationCode,Classification,Discipline,Position
2659,35.0,ARC_S,Acradis PAA Salary,Structures,Graduate Structural Engineer
2660,36.0,JCB_S,Jacobs PAA Salary,,
2661,36.0,JCB_S,Jacobs PAA Salary,,
2662,36.0,JCB_S,Jacobs PAA Salary,,
2663,36.0,JCB_S,Jacobs PAA Salary,,
2664,36.0,JCB_S,Jacobs PAA Salary,,
2665,36.0,JCB_S,Jacobs PAA Salary,,
2666,36.0,JCB_S,Jacobs PAA Salary,,
2667,36.0,JCB_S,Jacobs PAA Salary,,
2668,36.0,JCB_S,Jacobs PAA Salary,,
2669,36.0,JCB_S,Jacobs PAA Salary,,
2670,36.0,JCB_S,Jacobs PAA Salary,,
2671,36.0,JCB_S,Jacobs PAA Salary,,
2672,36.0,JCB_S,Jacobs PAA Salary,,
2673,36.0,JCB_S,Jacobs PAA Salary,,
2674,36.0,JCB_S,Jacobs PAA Salary,,
2675,36.0,JCB_S,Jacobs PAA Salary,,
2676,36.0,JCB_S,Jacobs PAA Salary,,
2677,36.0,JCB_S,Jacobs PAA Salary,,
2678,36.0,JCB_S,Jacobs PAA Salary,,
2679,36.0,JCB_S,Jacobs PAA Salary,,
2680,36.0,JCB_S,Jacobs PAA Salary,,
2681,36.0,JCB_S,Jacobs PAA Salary,,
2682,36.0,JCB_S,Jacobs PAA Salary,,
2683,36.0,JCB_S,Jacobs PAA Salary,,
2684,36.0,JCB_S,Jacobs PAA Salary,,
2685,36.0,JCB_S,Jacobs PAA Salary,,
2686,36.0,JCB_S,Jacobs PAA Salary,,
2687,36.0,JCB_S,Jacobs PAA Salary,,
2688,36.0,JCB_S,Jacobs PAA Salary,,
2689,36.0,JCB_S,Jacobs PAA Salary,,
2690,36.0,JCB_S,Jacobs PAA Salary,,
2691,36.0,JCB_S,Jacobs PAA Salary,,
2692,36.0,JCB_S,Jacobs PAA Salary,,
2693,36.0,JCB_S,Jacobs PAA Salary,,
2694,36.0,JCB_S,Jacobs PAA Salary,,
2695,36.0,JCB_S,Jacobs PAA Salary,,
2696,36.0,JCB_S,Jacobs PAA Salary,,
2697,36.0,JCB_S,Jacobs PAA Salary,,
2698,36.0,JCB_S,Jacobs PAA Salary,,
2699,36.0,JCB_S,Jacobs PAA Salary,,
2700,36.0,JCB_S,Jacobs PAA Salary,,
2701,36.0,JCB_S,Jacobs PAA Salary,,
2702,36.0,JCB_S,Jacobs PAA Salary,,
2703,36.0,JCB_S,Jacobs PAA Salary,,
2704,36.0,JCB_S,Jacobs PAA Salary,,
2705,36.0,JCB_S,Jacobs PAA Salary,,
2706,36.0,JCB_S,Jacobs PAA Salary,,
2707,36.0,JCB_S,Jacobs PAA Salary,,
2708,36.0,JCB_S,Jacobs PAA Salary,,
2709,36.0,JCB_S,Jacobs PAA Salary,,
2710,36.0,JCB_S,Jacobs PAA Salary,,
2711,36.0,JCB_S,Jacobs PAA Salary,,
2712,36.0,JCB_S,Jacobs PAA Salary,,
2713,36.0,JCB_S,Jacobs PAA Salary,,
2714,36.0,JCB_S,Jacobs PAA Salary,,
2715,36.0,JCB_S,Jacobs PAA Salary,,
2716,36.0,JCB_S,Jacobs PAA Salary,,
2717,36.0,JCB_S,Jacobs PAA Salary,,
2718,36.0,JCB_S,Jacobs PAA Salary,,
2719,36.0,JCB_S,Jacobs PAA Salary,,
2720,36.0,JCB_S,Jacobs PAA Salary,,
2721,36.0,JCB_S,Jacobs PAA Salary,,
2722,36.0,JCB_S,Jacobs PAA Salary,,
2723,36.0,JCB_S,Jacobs PAA Salary,,
2724,36.0,JCB_S,Jacobs PAA Salary,,
2725,36.0,JCB_S,Jacobs PAA Salary,,
2726,36.0,JCB_S,Jacobs PAA Salary,,
2727,36.0,JCB_S,Jacobs PAA Salary,,
2728,36.0,JCB_S,Jacobs PAA Salary,,
2729,36.0,JCB_S,Jacobs PAA Salary,,
2730,36.0,JCB_S,Jacobs PAA Salary,,
2731,36.0,JCB_S,Jacobs PAA Salary,,
2732,36.0,JCB_S,Jacobs PAA Salary,,
2733,35.0,ARC_S,Acradis PAA Salary,Road Design,Road Design - Traffic Staging
2734,35.0,ARC_S,Acradis PAA Salary,CNOP,OTL Carbon Estimation (Sustainability and Digital)
2735,36.0,JCB_S,Jacobs PAA Salary,Tunnels,
2736,35.0,ARC_S,Acradis PAA Salary,Structures,Structural Enginner
2737,35.0,ARC_S,Acradis PAA Salary,Structures,Revit Modeller
2738,35.0,ARC_S,Acradis PAA Salary,Road Design,North - Road Design Technical Lead
2739,35.0,ARC_S,Acradis PAA Salary,Structures,Structural Engineer
2740,35.0,ARC_S,Acradis PAA Salary,Road Civil,Geometry Lead
2741,36.0,JCB_S,Jacobs PAA Salary,,
2742,36.0,JCB_S,Jacobs PAA Salary,,
2743,36.0,JCB_S,Jacobs PAA Salary,,
2744,36.0,JCB_S,Jacobs PAA Salary,Road Civil,Roads & Civil
2745,36.0,JCB_S,Jacobs PAA Salary,ITS (Surface),ITS CAD lead
2746,36.0,JCB_S,Jacobs PAA Salary,Structures,Associate Bridge Engineer (Structures)
2747,36.0,JCB_S,Jacobs PAA Salary,Pavements,Pavement Engineer
2748,36.0,JCB_S,Jacobs PAA Salary,Structures,Bridge engineer
2749,36.0,JCB_S,Jacobs PAA Salary,Building Structures,Building Structures Senior Engineer
2750,36.0,JCB_S,Jacobs PAA Salary,Digital Engineering,BIM Lead - Building Structures
2751,36.0,JCB_S,Jacobs PAA Salary,,
2752,36.0,JCB_S,Jacobs PAA Salary,Drainage,Drainage Engineer
2753,36.0,JCB_S,Jacobs PAA Salary,Pavements,Pavement Engineer
2754,36.0,JCB_S,Jacobs PAA Salary,Utilities,
2755,36.0,JCB_S,Jacobs PAA Salary,Structures,Civil Structures - Bridges - Team 1
2756,36.0,JCB_S,Jacobs PAA Salary,,
2757,36.0,JCB_S,Jacobs PAA Salary,,
2758,36.0,JCB_S,Jacobs PAA Salary,Building Structures,Building Structures Eng
2759,36.0,JCB_S,Jacobs PAA Salary,Structures,Civil Structures - Retaining Walls Engineer
2760,36.0,JCB_S,Jacobs PAA Salary,Building Structures,Building Structures Eng
2761,36.0,JCB_S,Jacobs PAA Salary,Structures,Senior Bridge Engineer
2762,36.0,JCB_S,Jacobs PAA Salary,Structures,Graduate Structural Engineer
2764,36.0,JCB_S,Jacobs PAA Salary,Road Civil,Roads & Civil
2765,36.0,JCB_S,Jacobs PAA Salary,Structures,Civil Structures - Retaining Walls Engineer
2766,36.0,JCB_S,Jacobs PAA Salary,Geotechnical,Geotechnical: Civil Structures
2767,36.0,JCB_S,Jacobs PAA Salary,Geotechnical,Geotechnical: Civil Structures
2768,36.0,JCB_S,Jacobs PAA Salary,Structures,Structural Engineer
2769,36.0,JCB_S,Jacobs PAA Salary,Structures,Structures - Noise Walls
2770,36.0,JCB_S,Jacobs PAA Salary,Drainage,Drainage
2771,36.0,JCB_S,Jacobs PAA Salary,Road Civil,Roads & Civil
2772,36.0,JCB_S,Jacobs PAA Salary,Drainage,Drainage
2773,36.0,JCB_S,Jacobs PAA Salary,Design Management,Assistant PDM North
2774,36.0,JCB_S,Jacobs PAA Salary,Structures,Bridge Engineer
2775,36.0,JCB_S,Jacobs PAA Salary,Project Management,Quality Advisor
2776,36.0,JCB_S,Jacobs PAA Salary,ITS (Surface),ITS Modeler
2777,36.0,JCB_S,Jacobs PAA Salary,Geotechnical,Geotechnical: Civil Structures
2778,36.0,JCB_S,Jacobs PAA Salary,Structures,Civil Structures - Retaining Walls Engineer
2779,36.0,JCB_S,Jacobs PAA Salary,Road Civil,Roads & Civil
2780,36.0,JCB_S,Jacobs PAA Salary,Digital Engineering,Structures BIM Coordinator
2781,36.0,JCB_S,Jacobs PAA Salary,Structures,Structures - Piled Retaining Walls Team A
2782,36.0,JCB_S,Jacobs PAA Salary,Structures,Lead Revit modeller
2784,36.0,JCB_S,Jacobs PAA Salary,Structures,Civil Structures - Bridges - Team 1 / 3
2785,36.0,JCB_S,Jacobs PAA Salary,Structures,Structures - Noise Walls
2786,36.0,JCB_S,Jacobs PAA Salary,Road Design,Civil Designer
2787,36.0,JCB_S,Jacobs PAA Salary,Structures,Structural Engineer
2788,36.0,JCB_S,Jacobs PAA Salary,Digital Engineering,DIGITAL HYDRALIC LEAD
2789,36.0,JCB_S,Jacobs PAA Salary,Road Civil,Roads & Civil
2790,36.0,JCB_S,Jacobs PAA Salary,Structures,Civil Structures - Bridges - Team 1
2791,36.0,JCB_S,Jacobs PAA Salary,ITS (Surface),Geospatial Analyst
2792,36.0,JCB_S,Jacobs PAA Salary,Structures,Civil Structures -Cut & Cover STNP Lead
2793,36.0,JCB_S,Jacobs PAA Salary,Geotechnical,Geotechnical Engineer
2794,36.0,JCB_S,Jacobs PAA Salary,Structures,Civil Structures - Bridges - Team 3
2795,36.0,JCB_S,Jacobs PAA Salary,Structures,Bridge Engineer
2796,36.0,JCB_S,Jacobs PAA Salary,Structures,Strutures -Drainage Structures - Modeller
2797,36.0,JCB_S,Jacobs PAA Salary,Structures,Civil Structures - Bridges - Drafter
2798,36.0,JCB_S,Jacobs PAA Salary,Tunnels,Geotechnical Engineer
2799,36.0,JCB_S,Jacobs PAA Salary,Structures,
2800,36.0,JCB_S,Jacobs PAA Salary,Road Civil,Roads and Highways Engineer
2801,36.0,JCB_S,Jacobs PAA Salary,Drainage,Drainage Engineer
2802,36.0,JCB_S,Jacobs PAA Salary,Structures,Bridge Engineer
2803,36.0,JCB_S,Jacobs PAA Salary,Structures,BRIDGE DRAFTER
2804,36.0,JCB_S,Jacobs PAA Salary,Tunnels,Tunnel Design
2805,36.0,JCB_S,Jacobs PAA Salary,Road Civil,Traffic Signals Designer
2806,36.0,JCB_S,Jacobs PAA Salary,,Civil Structures -Cut & Cover NTNP Lead
2807,36.0,JCB_S,Jacobs PAA Salary,Structures,Package Lead
2808,36.0,JCB_S,Jacobs PAA Salary,Structures,Bridge Engineer
2809,36.0,JCB_S,Jacobs PAA Salary,Geotechnical,Independent Verifier (Geotechnical & Tunnel)
2810,36.0,JCB_S,Jacobs PAA Salary,Structures,Revit/Cad Drafter
2811,36.0,JCB_S,Jacobs PAA Salary,Structures,Structural Engineer
2812,36.0,JCB_S,Jacobs PAA Salary,Structures,Structures - Piled Retaining Walls Team A
2813,38.0,ARC_G,Arcadis GEC,Structures,Road Deck Designer
2814,35.0,ARC_S,Acradis PAA Salary,Digital Engineering,BIM Lead – Retaining Walls/Misc Structures
2815,35.0,ARC_S,Acradis PAA Salary,Drafting,Senior Drafter
2816,35.0,ARC_S,Acradis PAA Salary,ITS (Surface),ITS DE Coordinator
2817,35.0,ARC_S,Acradis PAA Salary,Road Civil,Signs & lines lead
2818,38.0,ARC_G,Arcadis GEC,Tunnels,BIM Modeller
2819,38.0,ARC_G,Arcadis GEC,Building Structures,BIM Modeller
2820,38.0,ARC_G,Arcadis GEC,Drafting,Bim Modeller / Drafter
2821,36.0,JCB_S,Jacobs PAA Salary,Structures,Bridge Designer
2822,36.0,JCB_S,Jacobs PAA Salary,Structures,Lead Engineer - Bridges - Team 8
2823,36.0,JCB_S,Jacobs PAA Salary,Structures,Misc Structures - Bridges / Noise Walls - Drafter
2824,36.0,JCB_S,Jacobs PAA Salary,Structures,Civil Structures - Bridges - Team 8
2825,36.0,JCB_S,Jacobs PAA Salary,Structures,Lead Technician/Revit Modelar
2826,38.0,ARC_G,Arcadis GEC,,Civil Structures - Bridges
2828,36.0,JCB_S,Jacobs PAA Salary,Structures,Principal Revit Technician
2829,36.0,JCB_S,Jacobs PAA Salary,Structures,Civil Structures - Bridges - Team 8
2830,36.0,JCB_S,Jacobs PAA Salary,Structures,Civil Structures - Bridges - Team 8
2832,36.0,JCB_S,Jacobs PAA Salary,Structures,Civil Structures - Bridges - Team 8
2833,36.0,JCB_S,Jacobs PAA Salary,Structures,Civil Structures - Bridges - Team 8
2834,38.0,ARC_G,Arcadis GEC,Drafting,BIM Modeller/Drafter
2835,38.0,ARC_G,Arcadis GEC,Structures,Design Engineer
2836,35.0,ARC_S,Acradis PAA Salary,Traffic Modelling,Resourcing Manager/ Traffic & Transport PL
2837,38.0,ARC_G,Arcadis GEC,In-tunnel Structures,In-Tunnel Structures
2838,36.0,JCB_S,Jacobs PAA Salary,,
2839,35.0,ARC_S,Acradis PAA Salary,Road Civil,Senior Civil Engineer
2840,38.0,ARC_G,Arcadis GEC,Road Design,Road Designer
2841,35.0,ARC_S,Acradis PAA Salary,Drainage,Drainage
2842,38.0,ARC_G,Arcadis GEC,Drainage,Drainage Engineer
2843,38.0,ARC_G,Arcadis GEC,Drainage,Drainage Engineer
2844,38.0,ARC_G,Arcadis GEC,Road Civil,BIM Modeller
2845,35.0,ARC_S,Acradis PAA Salary,Lighting,Feature Lighting PL
2846,38.0,ARC_G,Arcadis GEC,Lighting,BIM Modeller
2847,35.0,ARC_S,Acradis PAA Salary,Geotechnical,Geotechnical - Contam.
2848,38.0,ARC_G,Arcadis GEC,Structures,Civil Structures - Bridges - Drafter
2849,38.0,ARC_G,Arcadis GEC,Drafting,BIM Modelling and Drafting
2850,38.0,ARC_G,Arcadis GEC,Tunnels,In-Tunnel Structures
2851,38.0,ARC_G,Arcadis GEC,In-tunnel Structures,Senior Structural Engineer
2852,38.0,ARC_G,Arcadis GEC,Drafting,Civil Structures - Bridges - Drafter
2853,38.0,ARC_G,Arcadis GEC,Drafting,Bim Modeller
2854,38.0,ARC_G,Arcadis GEC,Structures,Civil Structures - Bridges - Team 2
2855,35.0,ARC_S,Acradis PAA Salary,Traffic Modelling,Undergraduate Transport Modeller
2856,36.0,JCB_S,Jacobs PAA Salary,,
2857,,,,,
2858,35.0,ARC_S,Acradis PAA Salary,ITS (Surface),ITS Engineer
2859,35.0,ARC_S,Acradis PAA Salary,ITS (Surface),Graduate ITS Engineer
2860,36.0,JCB_S,Jacobs PAA Salary,Structures,Civil Structures - Bridges - Drafter
2861,36.0,JCB_S,Jacobs PAA Salary,Building Structures,Building Structures Eng
2862,36.0,JCB_S,Jacobs PAA Salary,Project Management,Assistance SiD
2863,36.0,JCB_S,Jacobs PAA Salary,,
2864,36.0,JCB_S,Jacobs PAA Salary,Geotechnical,Groundwater Quality and Contamination
2865,36.0,JCB_S,Jacobs PAA Salary,,
2866,36.0,JCB_S,Jacobs PAA Salary,Project Management,GID Lead
2867,,,,Design Management,
2868,35.0,ARC_S,Acradis PAA Salary,Building Structures,BIM
2869,38.0,ARC_G,Arcadis GEC,Tunnels,BIM Coordinator
2870,36.0,JCB_S,Jacobs PAA Salary,Road Civil,Roads & Civil
2871,35.0,ARC_S,Acradis PAA Salary,Utilities,N5T and S1T Engineer
2872,36.0,JCB_S,Jacobs PAA Salary,Tunnels,Revit Modeller
2873,36.0,JCB_S,Jacobs PAA Salary,Geotechnical,Senior Hydrogeologist
2917,35.0,ARC_S,Acradis PAA Salary,Utilities,Utility Engineer
2918,36.0,JCB_S,Jacobs PAA Salary,Utilities,Utilities Designer
2919,36.0,JCB_S,Jacobs PAA Salary,ITS (Surface),Senior ITS Engineer
2920,35.0,ARC_S,Acradis PAA Salary,Structures,Revit modeller/drafter
2921,38.0,ARC_G,Arcadis GEC,Drainage,SeniorEngineer- Drainage
2922,35.0,ARC_S,Acradis PAA Salary,Road Design,Civil Designer
2923,36.0,JCB_S,Jacobs PAA Salary,Tunnels,Revit Modeller
2926,35.0,ARC_S,Acradis PAA Salary,Structures,Principal Structural and Durability Engineer
2927,36.0,JCB_S,Jacobs PAA Salary,Project Management,Commerical Lead
2928,36.0,JCB_S,Jacobs PAA Salary,Drafting,CAD Manager
2929,36.0,JCB_S,Jacobs PAA Salary,Buildings,Senior Security Consultant
2930,35.0,ARC_S,Acradis PAA Salary,Drainage,Independent Verifier
2931,35.0,ARC_S,Acradis PAA Salary,Drafting,CAD Technician
2932,36.0,JCB_S,Jacobs PAA Salary,Structures,Independent Verifier
2933,,,,Design Management,
2934,,,,,
2935,,,,,
2936,36.0,JCB_S,Jacobs PAA Salary,,
2937,36.0,JCB_S,Jacobs PAA Salary,Structures,STNP Design lead
2938,36.0,JCB_S,Jacobs PAA Salary,,
2940,36.0,JCB_S,Jacobs PAA Salary,Structures,Civil Structures - Bridges - Team 8
2941,38.0,ARC_G,Arcadis GEC,Structures,Civil Structures - Bridges - Drafter
2942,36.0,JCB_S,Jacobs PAA Salary,Structures,Structures - Drainage Structures
2943,35.0,ARC_S,Acradis PAA Salary,Structures,Senior Structural Engineer
2945,35.0,ARC_S,Acradis PAA Salary,Structures,Retaining Walls Delivery Manager
2946,38.0,ARC_G,Arcadis GEC,In-tunnel Structures,BIM Lead In-Tunnel Structures
2947,38.0,ARC_G,Arcadis GEC,,
2948,35.0,ARC_S,Acradis PAA Salary,Utilities,Utilities Engineer
2949,36.0,JCB_S,Jacobs PAA Salary,,
2950,36.0,JCB_S,Jacobs PAA Salary,Utilities,
2952,36.0,JCB_S,Jacobs PAA Salary,Utilities,Utility Engineer
2953,36.0,JCB_S,Jacobs PAA Salary,Utilities,N5S PUP Designer/modeller
2954,35.0,ARC_S,Acradis PAA Salary,Lighting,Electrical and Lighting Engineer
2955,35.0,ARC_S,Acradis PAA Salary,Road Civil,Civil Engineer
2956,36.0,JCB_S,Jacobs PAA Salary,Road Civil,Roads & Civil
2957,36.0,JCB_S,Jacobs PAA Salary,Road Design,Road Design - Permanent Works
2959,38.0,ARC_G,Arcadis GEC,Building Structures,Structural Engineer
2960,38.0,ARC_G,Arcadis GEC,Building Structures,Structural Engineer
2961,38.0,ARC_G,Arcadis GEC,Building Structures,
2962,35.0,ARC_S,Acradis PAA Salary,Structures,Verifier Structures
2963,,,,,
2964,38.0,ARC_G,Arcadis GEC,Structures,Senior Structural Engineer (TBC)
2965,35.0,ARC_S,Acradis PAA Salary,Building Structures,Structural Engineer
2966,38.0,ARC_G,Arcadis GEC,Building Structures,Building Structures Eng
2967,38.0,ARC_G,Arcadis GEC,Building Structures,BIM Modeler
2968,38.0,ARC_G,Arcadis GEC,Drafting,Senior BIM Modeler
2969,36.0,JCB_S,Jacobs PAA Salary,Building Structures,Building Structures SME
2970,35.0,ARC_S,Acradis PAA Salary,,
2971,36.0,JCB_S,Jacobs PAA Salary,,
2972,35.0,ARC_S,Acradis PAA Salary,Design Management,Zone Design Manager - C2S
2973,35.0,ARC_S,Acradis PAA Salary,,
2974,35.0,ARC_S,Acradis PAA Salary,Drainage,Drainage Engineer
2975,36.0,JCB_S,Jacobs PAA Salary,Drainage,Graduate Civil Engineer
2976,35.0,ARC_S,Acradis PAA Salary,,
2977,35.0,ARC_S,Acradis PAA Salary,Structures,Structural Engineer
2978,35.0,ARC_S,Acradis PAA Salary,Drafting,Senior CAD Technician
2979,35.0,ARC_S,Acradis PAA Salary,Structures,Package Lead
2982,36.0,JCB_S,Jacobs PAA Salary,Structures,Civil Structures - Retaining Walls Engineer (PL)
2983,35.0,ARC_S,Acradis PAA Salary,Structures,Senior Structural Engineer
2984,,,,,
2985,,,,Structures,
2986,36.0,JCB_S,Jacobs PAA Salary,Structures,Structures - Signs and Gantries
2987,35.0,ARC_S,Acradis PAA Salary,Structures,Civil Structures - Retaining Walls Drafter
2988,36.0,JCB_S,Jacobs PAA Salary,Structures,Civil Structures - Retaining Walls Drafter
2989,35.0,ARC_S,Acradis PAA Salary,Structures,Snr Structural Engineer
2990,35.0,ARC_S,Acradis PAA Salary,Structures,Engineer
2991,36.0,JCB_S,Jacobs PAA Salary,Structures,
2992,36.0,JCB_S,Jacobs PAA Salary,,
2993,35.0,ARC_S,Acradis PAA Salary,Building Structures,Structural Engineer
2994,35.0,ARC_S,Acradis PAA Salary,Building Structures,Engineer
2995,36.0,JCB_S,Jacobs PAA Salary,Building Structures,Building Structures Eng
2996,35.0,ARC_S,Acradis PAA Salary,Structures,Structural Engineer
2997,35.0,ARC_S,Acradis PAA Salary,Structures,Structural Engineer
2998,35.0,ARC_S,Acradis PAA Salary,Structures,Structural Engineer
2999,35.0,ARC_S,Acradis PAA Salary,Structures,Senior BIM modeller / draftee
3000,35.0,ARC_S,Acradis PAA Salary,Tunnels,Engineer
3001,35.0,ARC_S,Acradis PAA Salary,Structures,Structural Engineer
3002,35.0,ARC_S,Acradis PAA Salary,Structures,Structural Engineer
3003,,,,,
3004,36.0,JCB_S,Jacobs PAA Salary,,
3005,36.0,JCB_S,Jacobs PAA Salary,Tunnels,Tunnel Design
3006,36.0,JCB_S,Jacobs PAA Salary,,
3007,36.0,JCB_S,Jacobs PAA Salary,,
3008,36.0,JCB_S,Jacobs PAA Salary,,
3009,36.0,JCB_S,Jacobs PAA Salary,,
3010,36.0,JCB_S,Jacobs PAA Salary,,
3012,36.0,JCB_S,Jacobs PAA Salary,,
3013,36.0,JCB_S,Jacobs PAA Salary,Road Design,Road Design - Traffic Staging
3014,,,,Drainage,
3015,35.0,ARC_S,Acradis PAA Salary,Drainage,Drainage Engineer
3016,36.0,JCB_S,Jacobs PAA Salary,Road Design,
3017,35.0,ARC_S,Acradis PAA Salary,Structures,Independent Verifier
3018,38.0,ARC_G,Arcadis GEC,,
3019,36.0,JCB_S,Jacobs PAA Salary,Structures,Structural Engineer
3020,36.0,JCB_S,Jacobs PAA Salary,Structures,Independent Verifier - Bridges
3021,36.0,JCB_S,Jacobs PAA Salary,Structures,Senior Associate Bridge Engineer
3022,36.0,JCB_S,Jacobs PAA Salary,Structures,Structures Internal Verifier
3023,36.0,JCB_S,Jacobs PAA Salary,Structures,Structural Drafting Check Coordinator
3024,36.0,JCB_S,Jacobs PAA Salary,,
3025,36.0,JCB_S,Jacobs PAA Salary,,
3026,36.0,JCB_S,Jacobs PAA Salary,,
3027,36.0,JCB_S,Jacobs PAA Salary,Road Civil,Roads & Civil PL
3028,36.0,JCB_S,Jacobs PAA Salary,Project Management,Chief Engineer/Technical Manager
3029,36.0,JCB_S,Jacobs PAA Salary,,
3031,36.0,JCB_S,Jacobs PAA Salary,,
3032,36.0,JCB_S,Jacobs PAA Salary,,IV
3033,36.0,JCB_S,Jacobs PAA Salary,Geotechnical,Engineering Geology Reviewer/Challenge Team
3034,36.0,JCB_S,Jacobs PAA Salary,Building Services,Verifier
3035,36.0,JCB_S,Jacobs PAA Salary,Building Structures,Building Structures Verifier
3036,35.0,ARC_S,Acradis PAA Salary,Road Civil,Verifier - Civil
3037,35.0,ARC_S,Acradis PAA Salary,Structures,Structural Engineer
3038,36.0,JCB_S,Jacobs PAA Salary,Project Management,Senior HSE Advisor
3039,,,,,
3040,36.0,JCB_S,Jacobs PAA Salary,Structures,Structural drafter/modeller
3041,36.0,JCB_S,Jacobs PAA Salary,Tunnels,Checker
3042,36.0,JCB_S,Jacobs PAA Salary,Structures,Cut and Cover Design Delivery Manager
3043,36.0,JCB_S,Jacobs PAA Salary,Buildings,electrical modeller
3044,36.0,JCB_S,Jacobs PAA Salary,Structures,Senoir BIM Moddeller
3045,35.0,ARC_S,Acradis PAA Salary,Structures,IV
3046,36.0,JCB_S,Jacobs PAA Salary,Project Management,Document Controller
3047,36.0,JCB_S,Jacobs PAA Salary,Structures,Structural BIM Modeller
3048,36.0,JCB_S,Jacobs PAA Salary,Utilities,N5S PUP Lead
3049,36.0,JCB_S,Jacobs PAA Salary,Buildings,Mechanical Engineer
3050,36.0,JCB_S,Jacobs PAA Salary,Structures,Structural Technician
3051,36.0,JCB_S,Jacobs PAA Salary,Geotechnical,Hydrogeology Technical Review
3052,36.0,JCB_S,Jacobs PAA Salary,Air Quality,air quality modelling support
3053,35.0,ARC_S,Acradis PAA Salary,CNOP,Senior Document Controller
3054,35.0,ARC_S,Acradis PAA Salary,Durability,Fire safety specialist
3055,36.0,JCB_S,Jacobs PAA Salary,Structures,Package Lead
3057,36.0,JCB_S,Jacobs PAA Salary,Drafting,Utilities CAD Lead
3058,36.0,JCB_S,Jacobs PAA Salary,Geotechnical,Geotechnical Engineer
3059,36.0,JCB_S,Jacobs PAA Salary,Structures,Package Leader - Team 3 Bridges
3060,36.0,JCB_S,Jacobs PAA Salary,Building Structures,Senior Structural Engineer
3061,36.0,JCB_S,Jacobs PAA Salary,,
3091,35.0,ARC_S,Acradis PAA Salary,Buildings,Independant Verifier - electrical
3264,36.0,JCB_S,Jacobs PAA Salary,Buildings,Building Services - Mechanical Engineer
3265,36.0,JCB_S,Jacobs PAA Salary,Geotechnical,Geotechnical Engineer
3267,36.0,JCB_S,Jacobs PAA Salary,Building Services,Hydraulic Lead
3268,35.0,ARC_S,Acradis PAA Salary,Structures,Package Lead
3269,35.0,ARC_S,Acradis PAA Salary,Buildings,Discipline Lead - Fire Services (Wet & Dry)
3270,35.0,ARC_S,Acradis PAA Salary,Buildings,Mechanical Engineer
3271,35.0,ARC_S,Acradis PAA Salary,Building Structures,IV - Building Services
3272,36.0,JCB_S,Jacobs PAA Salary,,
3273,36.0,JCB_S,Jacobs PAA Salary,,
3274,36.0,JCB_S,Jacobs PAA Salary,,
3275,36.0,JCB_S,Jacobs PAA Salary,Building Services,Engineer - Electrical and Comms (12//1) / Lighting
3276,36.0,JCB_S,Jacobs PAA Salary,Building Services,Security Lead
3277,36.0,JCB_S,Jacobs PAA Salary,Tunnels,Engineer
3278,36.0,JCB_S,Jacobs PAA Salary,Project Management,Planner
3279,35.0,ARC_S,Acradis PAA Salary,Design Management,IV
3280,35.0,ARC_S,Acradis PAA Salary,Structures,Verifier
3281,,,,,Housing Allowance
3282,36.0,JCB_S,Jacobs PAA Salary,,Housing Allowance
3283,35.0,ARC_S,Acradis PAA Salary,Structures,Sr Structural Engineer
3284,,,,,Housing Allowance
3285,35.0,ARC_S,Acradis PAA Salary,,Housing Allowance
3286,,,,,Housing Allowance
3287,36.0,JCB_S,Jacobs PAA Salary,Lighting,PL LIGHTING - C3S
3288,36.0,JCB_S,Jacobs PAA Salary,Building Services,Electrical BIM Modeller
3289,,,,,
3290,35.0,ARC_S,Acradis PAA Salary,In-tunnel Structures,BIM Modeller
3291,35.0,ARC_S,Acradis PAA Salary,Drafting,Drafting Verifier
3292,36.0,JCB_S,Jacobs PAA Salary,Utilities,Mechanical Verifier
3293,36.0,JCB_S,Jacobs PAA Salary,Utilities,Utilities Engineer
3294,36.0,JCB_S,Jacobs PAA Salary,Drafting,Pavement Drafting Lead
3295,36.0,JCB_S,Jacobs PAA Salary,Drafting,CAD Technician
3296,36.0,JCB_S,Jacobs PAA Salary,Project Management,Cost Controller
3297,36.0,JCB_S,Jacobs PAA Salary,Structures,Civil & Structural Modeller
3298,35.0,ARC_S,Acradis PAA Salary,Structures,Structural Engineer
3299,35.0,ARC_S,Acradis PAA Salary,Road Civil,Package Drafter (RF)
3300,36.0,JCB_S,Jacobs PAA Salary,Tunnels,Tunnel - SME
3301,36.0,JCB_S,Jacobs PAA Salary,Road Civil,Civil Engineer -Roads & Highways
3302,35.0,ARC_S,Acradis PAA Salary,,Graduate Engineer
3303,38.0,ARC_G,Arcadis GEC,Project Management,GIS Web Developer
3305,36.0,JCB_S,Jacobs PAA Salary,Structures,Bridges Deign Checker
3306,36.0,JCB_S,Jacobs PAA Salary,Drafting,CAD Drainage
3307,,,,,Housing Allowance
3308,,,,,Housing Allowance
3309,36.0,JCB_S,Jacobs PAA Salary,,Housing Allowance
3310,35.0,ARC_S,Acradis PAA Salary,Road Civil,CIvil CAD Drafter
3311,35.0,ARC_S,Acradis PAA Salary,Road Civil,Drafter
3312,36.0,JCB_S,Jacobs PAA Salary,Building Services,Senior Electrical Engineer
3313,35.0,ARC_S,Acradis PAA Salary,Structures,Drafter
3314,35.0,ARC_S,Acradis PAA Salary,Environment,Flooding IV
3315,,,,,
3316,38.0,ARC_G,Arcadis GEC,In-tunnel Structures,Senior BIM Modeller
3317,,,,,Admin
